,Open,High,Low,Close,Adj Close,Volume,sentiment,pos_score,neg_score,neu_score
2018-05-21,47.0,47.317501068115234,46.727500915527344,46.907501220703125,44.53997039794922,73603200,negative,0.022010313346982002,0.7039440870285034,0.27404558658599854
2018-05-22,47.095001220703125,47.220001220703125,46.69499969482422,46.790000915527344,44.42841720581055,60962800,neutral,0.10073424875736237,0.1720678685232997,0.727197915315628
2018-05-23,46.587501525878906,47.125,46.439998626708984,47.09000015258789,44.713260650634766,80233600,neutral,0.03185869753360748,0.24994856119155884,0.7181926965713501
2018-05-24,47.192501068115234,47.209999084472656,46.5525016784668,47.037498474121094,44.66340255737305,92936000,neutral,0.07028272189199924,0.018399101682007313,0.9113181829452515
2018-05-25,47.057498931884766,47.412498474121094,46.912498474121094,47.14500045776367,44.76548385620117,69844000,neutral,0.28492236603051424,0.12087754098077615,0.5942000970244408
2018-05-29,46.900001525878906,47.1875,46.717498779296875,46.974998474121094,44.604061126708984,90056400,positive,0.40178920413282787,0.2815228450874036,0.31668793477795343
2018-05-30,46.93000030517578,47.0,46.69499969482422,46.875,44.50912094116211,74762000,negative,0.015887902583926916,0.934004932641983,0.050107196904718876
2018-05-31,46.80500030517578,47.057498931884766,46.53499984741211,46.717498779296875,44.35956573486328,109931200,neutral,0.28920310735702515,0.19596896078437567,0.5148279398679734
2018-06-01,46.997501373291016,47.564998626708984,46.9375,47.560001373291016,45.1595458984375,93770000,negative,0.06288455985486507,0.4693101042260726,0.46780532132834196
2018-06-04,47.90999984741211,48.35499954223633,47.837501525878906,47.95750045776367,45.53697204589844,105064800,neutral,0.15715058396259943,0.3048310994894968,0.5380183147887388
2018-06-05,48.26750183105469,48.48500061035156,48.09000015258789,48.32749938964844,45.888301849365234,86264000,neutral,0.3871724634664133,0.04855780611978844,0.5642697296570987
2018-06-06,48.407501220703125,48.52000045776367,47.97999954223633,48.494998931884766,46.04735565185547,83734400,neutral,0.11506791987145941,0.20792242310320339,0.6770096520582835
2018-06-07,48.53499984741211,48.54999923706055,48.084999084472656,48.3650016784668,45.92391586303711,85388800,neutral,0.2940425980422232,0.01375684245593018,0.6922005481190152
2018-06-08,47.79249954223633,48.0,47.442501068115234,47.92499923706055,45.50611114501953,106627200,neutral,0.0,0.0,0.0
2018-06-11,47.837501525878906,47.99250030517578,47.5525016784668,47.807498931884766,45.39453887939453,73234000,neutral,0.16706625244114548,0.4393586033838801,0.39357514248695225
2018-06-12,47.84749984741211,48.15250015258789,47.787498474121094,48.06999969482422,45.6437873840332,67644400,neutral,0.25489846132695676,0.16879357136785983,0.5763079702854157
2018-06-13,48.10499954223633,48.220001220703125,47.61000061035156,47.67499923706055,45.26873016357422,86553600,negative,0.02089436538517475,0.7521094679832458,0.22699616849422455
